"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"102";"0601";"Antibes-1 (Partiel)";3925,51452524997;26465;2959;24326;14,8328529198941;12,1639398174792
"103";"0603";"Antibes-3 (Partiel)";734,752673000802;10015;0;0;7,33652194708738;NA
"104";"0604";"Beausoleil";4536,77307663554;34400;3576;28527;13,1882938274289;12,5354926911347
"105";"0606";"Cagnes-sur-Mer-2 (Partiel)";4489,89976024758;35464;2113;24442;12,6604437182709;8,64495540463137
"106";"0609";"Le Cannet (Partiel)";2077,39933133441;18302;1094;13025;11,3506684041876;8,39923224568138
"107";"0610";"Contes";4448,81126039344;36185;2621;23401;12,294628327742;11,2003760523055
"108";"0611";"Grasse-1 (Partiel)";2817,07258115059;24674;1041;10040;11,4171702243276;10,3685258964143
"109";"0612";"Grasse-2 (Partiel)";1339,08404905979;9941;0;0;13,4703153511698;NA
"110";"0613";"Mandelieu-la-Napoule";5418,81551530755;40463;2556;23428;13,3920260863197;10,9100221956633
"111";"0614";"Menton";6744,01667230365;44564;7205;44131;15,133328858055;16,3263918787247
"112";"0617";"Nice-3 (Partiel)";1335,13118999813;17262;642;14415;7,73451042751782;4,45369406867846
"113";"0621";"Nice-7 (Partiel)";1508,86606919476;15639;945;14366;9,64809814690683;6,57803146317695
"114";"0624";"Tourrette-Levens";3927,74305467556;34658;2652;25332;11,3328612576478;10,4689720511606
"115";"0625";"Valbonne (Partiel)";2731,97620620832;31164;1492;14526;8,7664491278665;10,2712377805315
"116";"0626";"Vence";4799,93872474468;37387;3548;28599;12,8385233496795;12,4060281828036
"117";"0627";"Villeneuve-Loubet";3589,59105532963;32069;1147;14447;11,1933364162575;7,93936457395999
"118";"0694";"Antibes";11409,0644670348;75456;9591;69974;15,1201554111466;13,7065195644096
"119";"0695";"Cagnes-sur-Mer";7666,6305587172;46940;5190;40908;16,3328303338671;12,6870049867996
"120";"0696";"Cannes";13311,4265840001;73325;12946;68673;18,1540082973067;18,851659312976
"121";"0697";"Le Cannet";6676,92198962755;43187;5891;41868;15,460490401342;14,0704117703258
"122";"0698";"Grasse";5216,52328740582;50916;4756;41503;10,2453517310979;11,4594125725851
"123";"0699";"Nice";46012,4384911222;342295;50301;342903;13,4423343873332;14,6691629994488
"124";"0701";"Annonay-1 (Partiel)";908,514975428882;9894,00000000001;445;7623;9,18248408559613;5,83759674668766
"125";"0702";"Annonay-2 (Partiel)";889,206539414319;9459;441;7346;9,40064001918087;6,00326708412742
"126";"0703";"Aubenas-1 (Partiel)";1630,33091819571;10576;1372;10045;15,4153831145585;13,6585365853659
"127";"0704";"Aubenas-2 (Partiel)";1525,1421447867;14601;900;10489;10,445463631167;8,58041758032224
"128";"0705";"Bourg-Saint-Andéol";2190,45775804639;19068;800;8467;11,4876114854541;9,44844691153892
"129";"0706";"Haut-Eyrieux";2760,5466280672;18593;2695;19678;14,8472362075362;13,6954975099095
"130";"0707";"Guilherand-Granges";2886,91527081804;21600;967;13283;13,3653484760095;7,27998193179252
"131";"0708";"Haut-Vivarais";2605,46738069559;21100;2247;19046;12,3481866383677;11,7977528089888
"132";"0709";"Le Pouzin";1365,8946835695;16120;916;12196;8,47329208169662;7,51065923253526
"133";"0710";"Privas";2285,7463731323;20364;621;9532;11,2244469315081;6,51489718841796
"134";"0711";"Sarras";1378,69692553382;15328;1000;11210;8,99463025530934;8,92060660124888
"135";"0712";"Berg-Helvie";2361,92592448792;20402;1076;8287;11,5769332638365;12,9841921081212
"136";"0713";"Haute-Ardèche";2201,18139226487;14274;2099;13274;15,4209148960689;15,8128672593039
"137";"0714";"Tournon-sur-Rhône";2249,7254562333;20820;586;7755;10,8055977724942;7,55641521598968
"138";"0715";"Vallon-Pont-d'Arc";2870,58230705844;20426;2053;15463;14,0535704839834;13,276854426696
"139";"0716";"Les Cévennes Ardéchoises";2756,61833247096;18023;2312;14976;15,2950026769736;15,4380341880342
"140";"0717";"Rhône-Eyrieux";2398,30734275006;21853;1201;13203;10,9747281505975;9,09641748087556
"141";"0798";"Annonay";2398,02480595647;16075;1990;18524;14,9177281863544;10,7428201252429
"142";"0799";"Aubenas";1984,93511795694;11803;0;0;16,8172084890023;NA
"143";"0801";"Attigny";1412,48437724372;12222;1413;12132;11,5569004847302;11,646884272997
"144";"0802";"Bogny-sur-Meuse";1636,4384253221;15905;940;11131;10,2888300869041;8,44488365825173
"145";"0803";"Carignan";1803,01002020391;16080;1617;16486;11,2127488818651;9,80832221278661
"146";"0804";"Charleville-Mézières-1 (Partiel)";483,894341367873;4864;317;5023;9,94848563667502;6,31096954011547
"147";"0805";"Charleville-Mézières-2 (Partiel)";778,011964348659;7877;65;1462;9,87700856098335;4,44596443228454
"148";"0806";"Charleville-Mézières-3 (Partiel)";164;1631;101;1417;10,0551808706315;7,12773465067043
"149";"0807";"Charleville-Mézières-4 (Partiel)";141,9179202827;1637;87;1374;8,66939036546732;6,33187772925764
"150";"0808";"Château-Porcien";1328,40078169831;15367;1165;13290;8,64450303701641;8,76598946576373
"151";"0809";"Givet";1450,68268218195;14504;634;9060;10,0019489946356;6,99779249448124
"152";"0810";"Nouvion-sur-Meuse";1155,11177317378;14042;905;12804;8,22612001975344;7,06810371758825
"153";"0811";"Rethel";1538,1206169664;14078;465;6290;10,9257040557352;7,39268680445151
"154";"0812";"Revin";1675,1722577613;13439;953;12530;12,4650067546789;7,60574620909816
"155";"0813";"Rocroi";1397,56189564944;15767;1186;14397;8,86384154023875;8,23782732513718
